Genotype,Behavior,Treatment,class,Mouse,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N_pS6_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N
Control,C/S,Memantine,c-CS-m,309,0.416922604,0.564035627,0.355123675,2.260135135,4.268734644,0.218830018,0.179668305,2.007985258,0.190223793,1.424600737,0.501074939,0.289823901,0.363892996,0.277655563,0.818642506,0.478501229,1.409398034,1.85703317,0.483416141,0.628071253,0.367530549,0.359416718,0.179728458,1.077395577,2.550214988,1.316646192,0.25572702,0.276241358,0.676597052,0.160895351,0.391047184,2.281173219,0.339970345,0.425004783,0.333909491,0.693087371,0.539723081,0.354214276,0.520619636,0.347224089,0.321965685,0.419094938,0.44041769,0.147848101,0.70224765,0.177033102,1.795780591,0.294457873,0.288607595,1.107907459,0.158839779,0.159102447,0.182869198,0.099493671,0.140168776,0.160393646,0.123964088,0.117439413,0.236337828,0.141116631,0.434527221,0.249704282,1.386075949,1.957233046,0.119883239,0.980874701,0.833276763,0.191561181,0.141012658,,0.111483449,0.434153803,0.130405268,0.155611814,0.158235497,1.67565235
Control,C/S,Memantine,c-CS-m,311,0.591572123,0.690271493,0.320852692,2.285938044,4.229411765,0.221493213,0.185337848,2.045475113,0.174688797,1.831374693,0.839076826,0.326668505,0.342112521,0.268015171,0.831360947,0.654751131,1.563696485,1.403411069,0.403237034,0.717020536,0.487682334,0.365399947,0.18537859,1.091368954,2.944894652,1.251827358,0.243954292,0.258540585,0.669230769,0.177172583,0.389626556,2.034144799,0.382802938,0.530769231,0.4260181,0.871889401,0.720135747,0.478838174,0.614746544,0.474965422,0.410045177,0.520859671,0.25520362,0.165345723,0.787100301,0.190762503,0.9568065,0.278737542,0.294117647,1.017627767,0.098361766,0.205263599,0.181725888,0.104897419,0.132460586,0.147379913,0.164252528,0.133324236,0.215454033,0.110434292,0.372814616,0.235467496,1.062380147,1.584881757,0.150592217,1.068367904,0.67924059,0.181888545,0.167399887,0.168637387,,0.430308828,0.147208122,0.215089345,0.197067118,1.219966159
Control,C/S,Memantine,c-CS-m,320,0.530854674,0.748071583,0.385529158,2.606780076,5.601209601,0.23742672,0.187687313,2.549676026,0.209154326,1.799187726,0.819962974,0.353463993,0.354684753,0.270283848,0.959980419,0.812133812,1.857871858,1.854728447,0.399161266,0.892780006,0.471344765,0.424325674,0.193671369,1.495217525,3.623264425,1.438136378,0.281593407,0.308590806,0.801927802,0.17305603,0.420126354,2.366244986,0.366883117,0.561716673,0.423943227,0.823205469,0.715360073,0.48465704,0.707900047,0.492920521,0.39306138,0.500879176,0.212573155,0.207468156,1.070797977,0.172713362,0.748350047,0.346790092,0.529756455,1.787828422,0.122888435,0.175059513,0.205745567,0.133310068,0.181998338,0.197282099,0.257992629,0.131208819,0.189844704,0.113825319,0.546860356,0.313996659,1.499297095,2.188295165,0.165103903,1.269499215,0.854092752,0.220316269,0.161052541,0.136110397,0.123425355,0.534845413,0.143168731,0.180372529,,1.63898847
Control,C/S,Memantine,c-CS-m,321,0.420541987,0.6404204,0.357512061,2.731909028,5.468986906,0.232253618,0.174305788,2.64438091,0.198496659,1.535091391,0.630427292,0.332648649,0.324864865,0.266884907,0.995864921,0.742074431,1.91540317,1.586725178,0.398214037,0.835802895,0.384326281,0.418516028,0.185561682,1.422639559,3.38800827,1.334962913,0.267229497,0.283028721,0.818573398,0.163666806,0.408120553,2.322993931,0.340357384,0.513113652,0.404069767,0.798102414,0.651638443,0.448311509,0.695783784,0.471885029,0.352387357,0.455135135,0.181433483,0.21302578,1.060021971,0.172340707,0.90952444,0.34560869,0.519772388,1.799476643,0.098856368,0.17547994,0.198197325,0.140878262,0.189871445,0.204496996,0.237387865,0.133925023,0.215127832,0.132028363,0.573514197,0.327006595,1.597019708,2.406084656,0.176570458,1.322399688,0.922768787,0.234359634,,0.160966592,,0.56167328,0.152119371,0.214379774,,1.68242681
Control,C/S,Memantine,c-CS-m,322,0.356513531,0.500887399,0.316708622,2.062867215,4.128476302,0.231863442,0.183256173,3.511543741,0.181579933,1.215273935,0.528517999,0.338325222,0.294753086,0.255552958,0.778347466,0.774383079,1.519584802,1.10486995,0.375665549,0.682902781,0.311571589,0.381223329,0.171103395,1.001175088,2.68329718,0.999216608,0.247288503,0.262044653,0.670676395,0.157853506,0.385316811,1.859968664,0.319231249,0.487061438,0.421682099,0.765755647,0.644675926,0.395935863,0.588294022,0.470871914,0.330052389,0.408564815,0.188917373,0.186184055,0.985923823,0.158850637,0.87143894,0.31996688,0.372551362,1.251951739,0.096995505,0.16456255,0.17886466,0.139117701,0.172916372,0.177558118,0.188830523,0.1272457025,0.249610867,0.141682479,0.659818442,0.31522807,1.750477783,2.274277758,0.170030412,1.308804686,0.829548143,0.239624578,,0.150934469,0.14095961,0.494885264,,,,1.61497516
Control,C/S,Memantine,c-CS-m,3415,0.494053315,0.655302013,0.30590604,2.415704698,4.256596036,0.212719298,0.165514437,3.648240343,0.173959732,1.309090909,0.690604027,0.29720507,0.334791524,0.25030036,0.870950103,0.819548872,1.609706083,1.952539696,0.471832554,0.652084757,0.427968851,0.30936432,0.161982165,1.082980178,2.408993289,1.314496644,0.23480663,0.241571195,0.666979866,0.143954576,0.379357485,2.090067114,0.296924129,0.465234899,0.410913238,0.712885906,0.5220864315,0.361175666,0.573888666,0.344098884,0.29967541,0.400356268,0.370707596,0.188215904,0.807086939,0.153778997,1.969798658,0.283971982,0.409064689,1.460031155,0.112402143,0.150144211,0.176976802,0.125052349,0.161529283,0.184861564,0.17433414,0.124884831,0.261998492,0.120110562,0.527242289,0.328245078,1.55434693,2.307869798,0.150944569,1.132736764,0.948825711,0.239752435,0.139052354,0.11009687,0.135520833,0.438354462,0.114257327,0.155923994,0.145719399,1.506520119
Control,C/S,Memantine,c-CS-m,3499,0.288176638,0.457690109,0.284346847,2.018279014,3.161823362,0.196930505,0.151851852,3.076353276,0.164957265,0.997855918,0.371497999,0.264245014,0.311538462,0.212393162,0.738888889,0.513390313,1.267378917,1.829759863,0.450251256,0.516437965,0.274539363,0.287635799,0.140024142,0.996581197,2.123789174,1.109116809,0.205527638,0.207965264,0.590337336,0.138299707,0.348198971,1.846340766,0.273840317,0.429106154,0.409401709,0.648717083,0.497171306,0.323331609,0.515803254,0.333333333,0.264854828,0.347811448,0.490708977,0.168195719,0.861799319,0.144024961,2.412113072,0.261458656,0.526307535,0.894704243,0.273773471,0.139088299,0.161427687,0.105890658,0.148697759,0.172034686,0.177853553,0.109953305,0.237641942,0.117107224,0.523648914,0.315352697,1.448913981,2.13425209,0.136785786,1.049666869,0.871167544,0.230062588,0.148420564,0.104400345,0.113466586,0.404199475,0.166356762,0.144212168,0.15643378,1.537163208
Control,C/S,Memantine,c-CS-m,3507,0.371069182,0.540215589,0.313173157,2.304441824,4.006840796,0.233110511,0.182270091,2.17197327,0.211133741,1.282374101,0.554104478,0.332385151,0.295263832,0.255155739,0.879713914,0.621423927,1.637531069,1.141259321,0.381308148,0.63960232,0.324358613,0.367775585,0.171085336,1.068351284,2.973280862,1.168532338,0.249792875,0.256432495,0.735055473,0.165681872,0.386947585,2.215588723,0.319015787,0.458160729,0.402858326,0.775683513,0.577158299,0.341135046,0.584162521,0.399544325,0.289593698,0.381453563,0.18019884,0.178139779,0.970839354,0.157926462,0.97320021,0.298372514,0.50571391,1.019094994,0.108793325,0.153765471,0.148167608,0.118344384,0.157569113,0.199747654,0.175524365,0.124934314,0.287178678,0.147177014,0.587114726,0.295323174,1.623927178,2.353576073,0.157362406,1.203120936,0.84123624,0.224959448,0.187126138,,0.129383949,0.496978455,,,0.244712991,1.558191403
Control,C/S,Memantine,c-CS-m,3520,0.618551329,0.739200257,0.331195244,2.437319117,3.897371715,0.259033242,0.191766545,3.526595745,0.208286494,1.611183866,0.728799838,0.329211498,0.381403565,0.308233455,0.855913642,0.620150188,1.538642053,2.231026552,0.551469407,0.603254068,0.586694605,0.359039548,0.182571965,1.054599499,2.436639549,1.445244055,0.272819267,0.288820275,0.752033792,0.182554139,0.398450738,2.087765957,0.314860226,0.451691754,0.40546697,0.736024372,0.519512834,0.342269612,0.591527988,0.364833786,0.288093415,0.372124905,0.559292866,0.187553722,0.973538671,0.165404638,2.491351924,0.3101249,0.600309438,1.444992768,0.248753653,0.1502010505,0.165915086,0.127690672,0.161282073,0.217849044,0.221591886,0.122375764,0.225474347,0.117758295,0.537532216,0.325900164,1.781572165,2.319748149,0.150077359,1.279822963,1.009401709,0.241409922,0.162454874,0.12107547,0.114353782,0.487278666,0.16707848,0.16386654,,1.579311153
Control,C/S,Memantine,c-CS-m,3521,0.618862876,0.835317726,0.351973244,2.38934044,4.126449034,0.241070416,0.190594941,4.88956181,0.210280996,1.617163184,0.85147801,0.332965821,0.342788654,0.299047403,0.777333866,0.625582945,1.43973898,1.995039683,0.511571906,0.660778659,0.618810118,0.372326351,0.185281778,1.142608696,2.711705686,1.50916388,0.265449597,0.286049027,0.782876254,0.182223014,0.4109699,2.304080268,0.339942322,0.436010121,0.365705931,0.730190438,0.512418736,0.365756163,0.54957759,0.379613591,0.302271089,0.370702341,0.413057961,0.175494132,0.909737157,0.165941025,1.936548223,0.312953853,0.486782418,1.60081339,0.173488327,0.149913919,0.167623194,0.120075825,0.156630824,0.18880025,0.196571958,0.111785934,0.205146254,0.118006907,0.486542648,0.281323322,1.467699046,2.176231941,0.138567164,1.208841099,0.947278005,0.24236163,0.140210006,0.097850746,0.099579409,0.451314217,0.11926767,0.135114268,0.156391876,1.537384639
