,Genotype_Accuracy,Behavior_Accuracy,Treatment_Accuracy,Overall_Accuracy
Nearest Neighbors,0.7333333333333333,0.8666666666666667,0.4666666666666667,0.26666666666666666
Random Forest,0.9333333333333333,1.0,0.4,0.4
Gradient Boost,0.7333333333333333,1.0,0.6666666666666666,0.4666666666666667
AdaBoost,0.5333333333333333,1.0,0.5333333333333333,0.26666666666666666
Support Vector,0.7333333333333333,1.0,0.7333333333333333,0.6
Naive Bayes,0.8,1.0,0.5333333333333333,0.4
Gaussian Process,1.0,0.9333333333333333,0.5333333333333333,0.5333333333333333
Voting,0.8666666666666667,1.0,0.5333333333333333,0.4
RF Binary,0.9333333333333333,1.0,0.6666666666666666,0.6
Voting (manual),0.8666666666666667,1.0,0.5333333333333333,0.4
