Genotype,Behavior,Treatment,class,Mouse,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N_pS6_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N
Control,C/S,Memantine,c-CS-m,309,0.053881737877609484,0.09223639748653063,0.03776296457457646,0.3088016147030416,0.9214503562994043,0.007469271253464455,0.009508390990920339,0.31047124694170586,0.0195168308128193,0.18286754202051284,0.09185046559921553,0.015375886312509725,0.019855416654299716,0.01746600230552221,0.10294313979035156,0.06621271461970707,0.21488340386037685,0.18966608852838315,0.01980188734548411,0.1200040803601535,0.02923163906075689,0.014516579476210576,0.013058623453240489,0.3655990068750402,0.6133908840768196,0.1404674789202268,0.01258946704889466,0.023055577749465535,0.07697267933921965,0.005501792415615643,0.030192765171520634,0.44810413850153596,0.016906542685728002,0.019643641417112227,0.02808646896646642,0.050509623249224186,0.02089074267220282,0.03701152637724711,0.029268172989421526,0.023090677574165257,0.016374678425233838,0.03540539321593613,0.08273484521589519,0.01943206841666721,0.08816703792259446,0.011219099908638763,0.19361777107782316,0.007384417941015534,0.042266223217788355,0.1552366632547112,0.014656296135521165,0.008968825528575553,0.0062249659194084555,0.005045953250578623,0.00791536939312352,0.010618669025291487,0.006774763151188309,0.0039857310842261184,0.009093700564075838,0.004602395400323684,0.030711456298467565,0.009764509061003393,0.14709816818899132,0.09564339221962471,0.013632806845559226,0.03951331177574517,0.021064931456906452,0.0062659747623914986,0.028827534293134605,,0.0090043178013236,0.021880624256079437,0.021754257860581667,0.03575136711352202,0.03471589120910816,0.1439461891910411
Control,C/S,Memantine,c-CS-m,311,0.08765439608569733,0.1028182423486359,0.03313037752774044,0.2586261772888519,1.008991119182288,0.025306458173946188,0.01722947503146074,0.2825458787742261,0.011903562438417765,0.24408581365510848,0.1414229348693016,0.029575367392953005,0.03222586039504716,0.033081041423116984,0.07390072092076208,0.07808834160381779,0.2108691712885079,0.18024863394028345,0.027270755985799776,0.08878166997092826,0.04933298965363922,0.02556978467244199,0.020163614652131675,0.20884370732250704,0.6314132013014065,0.16065493400848735,0.021699467856650546,0.02018009149701793,0.09342138143734754,0.017359719968564506,0.02690864499194586,0.3703575601819648,0.02894036198577717,0.052196818957099114,0.06413538352958872,0.0594438765224882,0.09295760017205758,0.044479839653385964,0.045234036270988695,0.03769837833818193,0.05154281985191038,0.048977687785895695,0.06072654357611243,0.020384622935994745,0.08805239159457653,0.005096579070897739,0.038833375732629426,0.01979435690175348,0.06277359131872287,0.18583615745710028,0.013464559040350219,0.018401816485187173,0.01611766271595552,0.013743956721440525,0.0084994635303378,0.013179757083032121,0.01798845500239156,0.01071449515739185,0.02390995867034093,0.013022012242124271,0.020946103649394737,0.0075067441137985965,0.06312247841753543,0.11034798245056589,0.015016839900079425,0.0623034644929163,0.027413108069682557,0.015598160997426138,0.02526659941138575,0.021237663106641963,,0.029646480707005155,0.018302493290081063,0.032461454172792094,0.0350395969898752,0.12846489004659079
Control,C/S,Memantine,c-CS-m,320,0.062093469878214555,0.10162480369210146,0.03667826090691307,0.2080395892683396,0.5640969198750421,0.029091949456127,0.013537984392442005,0.3469635889237441,0.021592961142487068,0.13986527514714545,0.10645229345052999,0.010727507452724851,0.012981412882951748,0.02030068951263723,0.08759768691614161,0.11406785649646634,0.16589534772940512,0.14725130517275442,0.023832590598183094,0.08183553884883575,0.03282879554516922,0.02344908107379205,0.01565221469124545,0.4395436703813122,0.5996412857320389,0.06489878690097346,0.009926870843361794,0.015850116700942402,0.04305539538038852,0.011260664991161375,0.023565489178387525,0.2621311094086041,0.018952861366038916,0.02545424309756141,0.03061123299638733,0.038660970060322285,0.06220003083227237,0.04750583498015698,0.03265452038384397,0.024780876879666108,0.024422314708588636,0.03598717070159535,0.013854057357491284,0.023392330243155682,0.10329333565919213,0.004948285494599286,0.06985525724682905,0.012324040619014365,0.06692365777311214,0.24707442835735266,0.007772233172145309,0.014221166221818567,0.009092642355824567,0.010508582098630783,0.00871360220040348,0.012225491838374793,0.04611050533328858,0.00893375062507243,0.017929504215713415,0.009101202351265637,0.02951950358612876,0.01193653913422659,0.13065306950782932,0.07373998417538348,0.012228000800591898,0.12698863882091138,0.0345937040711515,0.006604054714225617,0.022093047343640874,0.016247537991494115,0.0055571952844487675,0.024516116817465884,0.015354494915238643,0.025317627584132245,,0.055966766797172746
Control,C/S,Memantine,c-CS-m,321,0.06163638767962354,0.07106885254621745,0.03333427446654307,0.22095246099320665,0.9948458189373394,0.023417803545227673,0.02254584025829566,0.3375683309024957,0.007471899705640294,0.2030600661406531,0.09749408166290209,0.011243395430573648,0.011544139422098847,0.016922093291226518,0.08545750584417189,0.09804237874647871,0.19853293993717774,0.22458251542138863,0.02451043651055836,0.08903918528343077,0.014496204512192745,0.023514737720202964,0.016537308470341894,0.3475166217655156,0.5963421709582156,0.0756396959452148,0.010810714320065832,0.013620881164353019,0.04469444661271358,0.020267666290860326,0.024621937712979814,0.28738884260424424,0.008624997316386912,0.02077243463547396,0.019045670754522542,0.023429728915668,0.039068087029404334,0.06394057263719598,0.02810292024158418,0.026991046305604855,0.01529054920361927,0.031388145332093755,0.007121189779523375,0.024711528690748868,0.20860054674096604,0.007453921165863654,0.028498267442553016,0.014322636139667038,0.02278830605729063,0.3604587765875735,0.010128300243672313,0.011732041368410405,0.0191314571121539,0.013666869201282728,0.010279829772958302,0.017957023908821847,0.039729396120699534,0.006121683948486841,0.018674412420378223,0.02019119433000278,0.035428431107337045,0.021508457466470406,0.15987233678496665,0.08358821491476917,0.013341621675690814,0.10007862397165695,0.04509876025229054,0.0162632621387427,,0.016743391489808027,,0.03144805922342067,0.021591012670360427,0.03393747374114753,,0.042141103920475244
Control,C/S,Memantine,c-CS-m,322,0.021888602805939676,0.04032275486162928,0.01346160676861749,0.13959069844944041,0.6570941069484809,0.020559254256357334,0.014242414270318193,0.1841386822294174,0.005709971230178677,0.1044149520004942,0.06322174337229061,0.008843468816413689,0.00893603481971998,0.013522493346605394,0.055127365077714034,0.09473467406237134,0.1277405821745056,0.09024129009141017,0.025230667074589798,0.061560325681729075,0.016776541554054763,0.026865216052806545,0.015643217389140915,0.19469527937144873,0.48493419409747485,0.0621495623477616,0.007538487706305732,0.009159031971801294,0.042333648498225164,0.015521817792079335,0.01829838247721582,0.2057313658565368,0.01692370816854295,0.04034045588038001,0.07014115120615204,0.03703090286608093,0.046994800431590836,0.0279873295937339,0.030588652291287283,0.015042967685228061,0.03463262471911676,0.028100257638980036,0.042198218819297834,0.025425317307171524,0.16071266601200368,0.00414410778851969,0.02135787589492401,0.014166494706826755,0.04919360786002567,0.29230610385101796,0.013803899357491599,0.008615250335584345,0.02113136287878867,0.003011018119080038,0.01016980858433281,0.008791612060979143,0.021685082937469978,0.004662760948682854,0.011631545446082046,0.005344516539426827,0.03411944443017571,0.017825110362681928,0.1978947182760456,0.1214432641495156,0.01843700981289017,0.041351392559349096,0.0244693497119639,0.00870903744468604,,0.02187787492929481,0.013953906116815728,0.014655099521595728,,,,0.1432686657364409
Control,C/S,Memantine,c-CS-m,3415,0.09856961380195524,0.13668750939137872,0.054688395354388526,0.3944205054325607,0.8465068690345492,0.006679713116369579,0.00903835750113936,0.517985600276039,0.03220597943163365,0.24319138928749667,0.1715767101306222,0.01987168277736861,0.044764471388970405,0.016637399990328504,0.13100653204433924,0.18877906604755723,0.2606233329451106,0.30681208064023613,0.02307747306912229,0.10848849970312728,0.07496442416044079,0.03081525054323471,0.010121140483834137,0.43469714162239215,0.6613951836904044,0.19331041710390778,0.013866879644452747,0.0440567119272425,0.11325308927473528,0.014179623166574897,0.038503219167340175,0.3907165107115739,0.028882791971860337,0.017094010125852436,0.03299135677650697,0.05283516286743822,0.019422853630595177,0.0355370720282174,0.03247114832552585,0.012345656560572266,0.017458793212948475,0.018652682982568756,0.08733812457805568,0.03313098929477337,0.24237112580225473,0.02208538630890477,0.12915026583815628,0.030040880736877138,0.10710146738847148,0.49284960475828776,0.024851167941873014,0.010271951054095821,0.03698013316443788,0.02217494522119677,0.02468763996341524,0.035350815931260555,0.039223014191416154,0.011742509259067332,0.057010346202898965,0.0275161296878285,0.06939188064411206,0.051862437746737364,0.2926699688765533,0.4238442294807059,0.019439516984172615,0.14893454428719552,0.14977606367823057,0.02821916122926533,0.017205182396640203,0.013446090608906086,0.014791358004494694,0.07807922950410509,0.01365300785077118,0.015127435669225413,0.021895510277907787,0.30877441392899
Control,C/S,Memantine,c-CS-m,3499,0.08069303336622174,0.1061421464030353,0.04361985410941679,0.3610213658129241,0.6673225963132557,0.010022778310850222,0.01404989391865825,0.49050416707280187,0.036464446555349306,0.22065950527334327,0.11954738404352055,0.026843407466296876,0.03978242625566891,0.023395047361972315,0.11141507692812291,0.10885610654254374,0.23261711996277937,0.2679332368517256,0.02364629521980587,0.11032164061871873,0.03778974902537293,0.03014811782355688,0.010466790381610584,0.37982011865470494,0.606758268682203,0.1516371975023367,0.020094861464102127,0.03869754918662884,0.10783514049132507,0.010388227049414897,0.04195712470926243,0.46012334639791813,0.022263245498481292,0.018209278072858034,0.020327176270739572,0.04272238591011309,0.020919876327329903,0.035023645353229285,0.020746344104636338,0.021561435300691826,0.011217586049455516,0.020190726886706947,0.12666660937934912,0.028557520153852132,0.1407266491885766,0.00764608140786669,0.10651064925382427,0.028507127334335882,0.07650337555722837,0.18042235632803136,0.04321758548060812,0.005266222438365456,0.020870338793859394,0.008176127560327477,0.004891738364516148,0.02039078613039536,0.014362157001918518,0.0075456762507090545,0.02136121313570763,0.01666078000834096,0.01076037781955198,0.01988997786148288,0.13018796505278316,0.13698729759420303,0.01654190368504568,0.031906507538782124,0.03372620047420649,0.019672793743152055,0.0209336073000762,0.013475745335418347,0.017584600334112147,0.03680356126987293,0.009784689926469687,0.033738289243803635,0.025590439897119583,0.18796334513607113
Control,C/S,Memantine,c-CS-m,3507,0.03091344477096806,0.0540017239037202,0.01685302582430152,0.2277075540445684,0.8091320461818827,0.017154582181524502,0.015995972304751617,0.22859704517340054,0.013184500230437364,0.11295703368138095,0.08169507962204937,0.014275328872551443,0.014893966096531364,0.019451384877278512,0.08702216561162696,0.06953021270052959,0.187824227454061,0.14882329957295326,0.024705713291700213,0.06925285999814272,0.021746690374589366,0.024240544875501844,0.02181561311767767,0.20970366062460383,0.5596765957475172,0.10819907256733603,0.012122066030843206,0.016236172143145104,0.07374233124464273,0.013504911431695521,0.024474283559617314,0.3312522688606228,0.01781816280751078,0.02511176215319287,0.058361819317419954,0.03153759934589615,0.026439271243679955,0.013854280278540763,0.01993606503261472,0.01748270298965326,0.02523477076742369,0.03060041247391104,0.024066981579397417,0.023952089682401676,0.1163057343516128,0.0023391029905036275,0.031584007067292065,0.010672967998687319,0.03991185948004969,0.1878238063228421,0.012947436148705808,0.0031244242925650935,0.01666401292138538,0.005051523667842646,0.005672136028232646,0.017161969956974978,0.008310082558500414,0.007047602159671263,0.006544258696901409,0.00553157474600144,0.019359882859206395,0.017349052605557042,0.1148971823312026,0.08916406629315819,0.021593803617593575,0.05390087333010112,0.024053046663812094,0.021829983880280575,0.03523096462864242,,0.02040623976580869,0.026167623514071103,,,0.056402536353094244,0.08791488270700824
Control,C/S,Memantine,c-CS-m,3520,0.08615871776391097,0.13338969364491254,0.03260561422697847,0.26489321620284295,0.6796954323225017,0.013924148672306411,0.01607330737161857,0.40382878009875517,0.016188454153777766,0.189956502998673,0.13520599146683834,0.012464472201787568,0.02789271560123165,0.005783438536432246,0.0718503586217351,0.0978454555798877,0.17119238724189445,0.10095757069930975,0.015971671461379743,0.08591816434226225,0.03685202782169438,0.01909840283206896,0.013556147599552083,0.2937894171871168,0.5372270701280831,0.08315386701720158,0.02004513667613812,0.02131679954801445,0.07750980981247187,0.012751702330150527,0.05857225631430574,0.2923718435191895,0.01423800798021032,0.024233502752945252,0.025148584302522717,0.043467200974227946,0.046215514810019204,0.037927122148544885,0.04267370721183614,0.022116096647484453,0.01987636102106437,0.0346649473717688,0.11931168671905226,0.024672808665410398,0.17154906139245216,0.00840377603618792,0.08200644386305168,0.015009889841861343,0.08282461831279762,0.2879051518860501,0.024157261525963113,0.005902074866695914,0.011774393909071803,0.01345944151697646,0.009382025858758582,0.014035204387913395,0.032763893076149214,0.004708941581460798,0.017502274062165278,0.017669774157646343,0.041146423316052845,0.020624380195021542,0.18557715881327028,0.10897024948984356,0.008476387942553794,0.05826113788504583,0.03911186216789622,0.022014201163012122,0.023925014036627182,0.018702597817656527,0.020137727317700096,0.027155871558347627,0.017149890915535933,0.023156011963202747,,0.0677443447500232
Control,C/S,Memantine,c-CS-m,3521,0.09910532908859267,0.12347945459676667,0.0454746463883452,0.23662466066844415,0.4997460693800486,0.015288767336717858,0.010261924241486057,0.472108707086212,0.02679433368185855,0.14066272627177157,0.16163410373331355,0.013465798089178676,0.025453193346736944,0.014288676275523878,0.09276312350796341,0.09741446961434767,0.15488611101590286,0.13230203689997821,0.04178739723829088,0.08090967985479591,0.04405365110510682,0.009959491251023819,0.006788310187233333,0.41435225442529106,0.5382037529978098,0.06495712179545103,0.011971980728705017,0.026661304289586074,0.05544830672086364,0.010766838879600598,0.04141898926575264,0.298678300077846,0.02337215855102443,0.03220664538152327,0.027433959570487627,0.0375881510160692,0.01793121642239981,0.0546777587312464,0.025571061567582588,0.025448561930671507,0.01725354930978243,0.037924452895569956,0.10762932350086918,0.0209412127872603,0.08735869806762103,0.0036448416535754652,0.11356333717753224,0.016348382034489798,0.060423534716446264,0.22399110954095502,0.015922207699315787,0.004580131091997823,0.010924675605345517,0.006556615221345251,0.011382960181249908,0.011140626873346066,0.010516376512452066,0.006282052816341661,0.013495592397789398,0.005793051386074447,0.01628712640726336,0.01725676754371292,0.07468515192454896,0.04993067495219375,0.00731620492546636,0.03244562104867309,0.017698672555163535,0.006402662060601728,0.00852123122698344,0.008650733045066705,0.0056804494221811335,0.01605768111171959,0.006101105490705745,0.0070789294737898766,0.01692091686183962,0.06217441737107071
