,protein,Genotype,Behavior,Treatment,Geno_Behav,Geno_Treat,Behav_Treat,Triple_Interact,importance,ImportanceRank
32,SOD1_N,0.7011767826038795,2.7763587951514887e-18,0.34068010048958397,0.3692520721797622,0.018835112190593577,0.32112698206691126,0.014473180115669258,0.061204479231171734,1.0
30,APP_N,3.084508146700939e-10,0.031630291665498717,0.7931545990138122,0.022489593026566713,0.8819437743349439,0.770758324066807,0.5337472554458074,0.0577622461857124,2.0
1,ITSN1_N,0.04702203972595906,2.4338212854607426e-06,0.6243859446669837,0.6210646791061559,0.3455080914255144,0.6300779343583449,0.4960694780496874,0.05592236930501011,3.0
0,DYRK1A_N,0.30458592812771135,2.9157866070739247e-06,0.7742424361573432,0.8579493168732023,0.3429021579087236,0.9193562548276576,0.26545659927615156,0.04583542365452638,4.0
75,CaNA_N,0.3387185295266484,9.359408024443428e-17,0.03185343634180711,0.7898559380654524,0.4636311122403055,0.07396306401801044,0.21196224982836817,0.04451391154286515,5.0
10,pERK_N,0.8755201107245659,2.0290160880105276e-08,0.9297707666583087,0.8865576833340536,0.445693157694103,0.7997558946634795,0.29168402216286193,0.03884538750802567,6.0
34,P38_N,0.007047535117568299,9.633998650635307e-13,0.001696801359823255,0.07595819412634196,0.280271880986224,0.8738114409225762,0.31338361659449343,0.03258348581521081,7.0
45,pGSK3B_N,0.07472356897629227,5.626938924179555e-08,0.004654345381258999,0.015046383805900575,0.7139995212238792,0.6516797123281646,0.07933856870332943,0.029779270970297363,8.0
53,ARC_N_pS6_N,0.017222471568866173,1.8117542625410623e-13,0.013732168301726315,0.1561273887694619,0.05935468996007351,0.31809327077313826,1.5208018077002959e-05,0.02719417729076576,9.0
20,BRAF_N,0.623642342685302,2.6864990254348385e-05,0.9187403949327217,0.8962292957832705,0.2530810981002721,0.9089949003555878,0.28217411566875744,0.02709757569472841,10.0
17,pPKCAB_N,0.6773622914104968,7.97261455095057e-08,0.024924152213214184,0.0771413481427596,0.9012758124805036,0.8786010846140827,0.11980426560756194,0.020493779417534715,11.0
48,S6_N,7.32518163939129e-05,4.69978257214704e-06,0.008405480140848203,0.44457586955460404,0.013581501986743546,0.31002352836648606,0.8185008238386862,0.01873441015237442,12.0
